pair,datetime,open,high,low,close
EURCHF,2026-06-24 08:00:00+00:00,0.92147,0.92172,0.92079,0.92133
EURCHF,2026-06-24 09:00:00+00:00,0.92132,0.92168,0.92116,0.9214
EURCHF,2026-06-24 10:00:00+00:00,0.92139,0.92168,0.92122,0.92149
EURCHF,2026-06-24 11:00:00+00:00,0.92148,0.92208,0.92123,0.92148
EURCHF,2026-06-24 12:00:00+00:00,0.92148,0.92178,0.92104,0.92172
EURCHF,2026-06-24 13:00:00+00:00,0.9217,0.92192,0.92108,0.92184
EURCHF,2026-06-24 14:00:00+00:00,0.92185,0.92243,0.92162,0.9224
EURCHF,2026-06-24 15:00:00+00:00,0.92239,0.92248,0.92173,0.92221
EURCHF,2026-06-24 16:00:00+00:00,0.92222,0.92259,0.92205,0.92225
EURCHF,2026-06-24 17:00:00+00:00,0.92225,0.92266,0.92216,0.92258
EURCHF,2026-06-24 18:00:00+00:00,0.92258,0.9229,0.9225,0.92253
EURCHF,2026-06-24 19:00:00+00:00,0.92254,0.9229,0.92248,0.92279
EURCHF,2026-06-24 20:00:00+00:00,0.9228,0.923,0.92253,0.92268
EURCHF,2026-06-24 21:00:00+00:00,0.92261,0.92275,0.92261,0.92274
EURCHF,2026-06-24 22:00:00+00:00,0.92269,0.92274,0.9225,0.9225
EURCHF,2026-06-24 23:00:00+00:00,0.92251,0.92268,0.9225,0.92266
EURCHF,2026-06-25 00:00:00+00:00,0.92268,0.92274,0.92238,0.92239
EURCHF,2026-06-25 01:00:00+00:00,0.92238,0.92244,0.9221,0.92212
EURCHF,2026-06-25 02:00:00+00:00,0.92212,0.92216,0.9217,0.92204
EURCHF,2026-06-25 03:00:00+00:00,0.92206,0.9221,0.92174,0.9219
EURCHF,2026-06-25 04:00:00+00:00,0.92192,0.92195,0.92173,0.92192
EURCHF,2026-06-25 05:00:00+00:00,0.92192,0.92232,0.92187,0.92228
EURCHF,2026-06-25 06:00:00+00:00,0.92224,0.92257,0.92178,0.92186
EURCHF,2026-06-25 07:00:00+00:00,0.92186,0.9221,0.92128,0.92161
EURCHF,2026-06-25 08:00:00+00:00,0.92164,0.92181,0.921,0.92174
EURCHF,2026-06-25 09:00:00+00:00,0.92176,0.9223,0.9215,0.922
EURCHF,2026-06-25 10:00:00+00:00,0.92201,0.9221,0.92162,0.92187
EURCHF,2026-06-25 11:00:00+00:00,0.92186,0.922,0.9214,0.92196
EURCHF,2026-06-25 12:00:00+00:00,0.92196,0.9225,0.9216,0.92212
EURCHF,2026-06-25 13:00:00+00:00,0.92208,0.9221,0.92112,0.92147
EURCHF,2026-06-25 14:00:00+00:00,0.92146,0.92198,0.9211,0.9214
EURCHF,2026-06-25 15:00:00+00:00,0.9214,0.92175,0.92132,0.9214
EURCHF,2026-06-25 16:00:00+00:00,0.92141,0.92154,0.92108,0.92127
EURCHF,2026-06-25 17:00:00+00:00,0.92128,0.92141,0.92116,0.92127
EURCHF,2026-06-25 18:00:00+00:00,0.92128,0.9215,0.92094,0.92098
EURCHF,2026-06-25 19:00:00+00:00,0.92099,0.92115,0.92088,0.9209
EURCHF,2026-06-25 20:00:00+00:00,0.92088,0.92124,0.92082,0.92112
EURCHF,2026-06-25 21:00:00+00:00,0.92126,0.92126,0.92072,0.921
EURCHF,2026-06-25 22:00:00+00:00,0.92126,0.92126,0.92088,0.92102
EURCHF,2026-06-25 23:00:00+00:00,0.92104,0.92125,0.92097,0.92108
EURCHF,2026-06-26 00:00:00+00:00,0.92111,0.92124,0.92089,0.92098
EURCHF,2026-06-26 01:00:00+00:00,0.921,0.92109,0.92078,0.92096
EURCHF,2026-06-26 02:00:00+00:00,0.92096,0.92108,0.92074,0.92077
EURCHF,2026-06-26 03:00:00+00:00,0.92076,0.92084,0.9203,0.92052
EURCHF,2026-06-26 04:00:00+00:00,0.9205,0.92059,0.91978,0.91999
EURCHF,2026-06-26 05:00:00+00:00,0.92,0.92046,0.91993,0.92025
EURCHF,2026-06-26 06:00:00+00:00,0.92024,0.9205,0.92016,0.92036
EURCHF,2026-06-26 07:00:00+00:00,0.9204,0.92076,0.91996,0.92076
EURCHF,2026-06-26 08:00:00+00:00,0.92076,0.9219,0.92057,0.92168
EURCHF,2026-06-26 09:00:00+00:00,0.92169,0.92222,0.92162,0.92182
EURCHF,2026-06-26 10:00:00+00:00,0.92184,0.92208,0.92161,0.92194
EURCHF,2026-06-26 11:00:00+00:00,0.92195,0.92209,0.92172,0.92184
EURCHF,2026-06-26 12:00:00+00:00,0.92182,0.92276,0.92171,0.92242
EURCHF,2026-06-26 13:00:00+00:00,0.92244,0.92248,0.92171,0.92186
EURCHF,2026-06-26 14:00:00+00:00,0.92188,0.9228,0.9217,0.92198
EURCHF,2026-06-26 15:00:00+00:00,0.92199,0.92228,0.92154,0.92158
EURCHF,2026-06-26 16:00:00+00:00,0.92156,0.92209,0.92154,0.92194
EURCHF,2026-06-26 17:00:00+00:00,0.92194,0.92208,0.92186,0.92204
EURCHF,2026-06-26 18:00:00+00:00,0.92204,0.92238,0.92184,0.92195
EURCHF,2026-06-26 19:00:00+00:00,0.92196,0.92201,0.92168,0.92178
EURCHF,2026-06-26 20:00:00+00:00,0.92178,0.92226,0.92169,0.92216
EURCHF,2026-06-28 21:00:00+00:00,0.92262,0.92294,0.92218,0.92246
EURCHF,2026-06-28 22:00:00+00:00,0.92248,0.92249,0.92213,0.92237
EURCHF,2026-06-28 23:00:00+00:00,0.92238,0.92244,0.92222,0.92231
EURCHF,2026-06-29 00:00:00+00:00,0.9223,0.92239,0.92208,0.92221
EURCHF,2026-06-29 01:00:00+00:00,0.92222,0.92241,0.92212,0.92228
EURCHF,2026-06-29 02:00:00+00:00,0.92227,0.92228,0.92206,0.92211
EURCHF,2026-06-29 03:00:00+00:00,0.92208,0.92216,0.92197,0.9221
EURCHF,2026-06-29 04:00:00+00:00,0.92206,0.92211,0.92196,0.922
EURCHF,2026-06-29 05:00:00+00:00,0.922,0.92226,0.92194,0.92212
EURCHF,2026-06-29 06:00:00+00:00,0.92214,0.92287,0.9221,0.92276
EURCHF,2026-06-29 07:00:00+00:00,0.92274,0.92285,0.92229,0.92231
EURCHF,2026-06-29 08:00:00+00:00,0.9223,0.92266,0.92195,0.92201
EURCHF,2026-06-29 09:00:00+00:00,0.92199,0.92227,0.92178,0.92215
EURCHF,2026-06-29 10:00:00+00:00,0.92216,0.92219,0.92179,0.92192
EURCHF,2026-06-29 11:00:00+00:00,0.92192,0.92214,0.92182,0.92206
EURCHF,2026-06-29 12:00:00+00:00,0.92207,0.9224,0.92198,0.92224
EURCHF,2026-06-29 13:00:00+00:00,0.92222,0.92234,0.92184,0.92218
EURCHF,2026-06-29 14:00:00+00:00,0.9222,0.92352,0.92212,0.9235
EURCHF,2026-06-29 15:00:00+00:00,0.9235,0.92354,0.92298,0.92321
EURCHF,2026-06-29 16:00:00+00:00,0.92322,0.92327,0.92288,0.92292
EURCHF,2026-06-29 17:00:00+00:00,0.92293,0.92294,0.92257,0.92268
EURCHF,2026-06-29 18:00:00+00:00,0.92268,0.92274,0.92248,0.9226
EURCHF,2026-06-29 19:00:00+00:00,0.92258,0.92268,0.92232,0.92244
