close_timestamp,instrument,strategy,direction,entry_price,risk_reference_price,exit_price,risk_distance,r_multiple,risked_gbp,pnl_gbp,equity_before,equity_after
2026-09-05T13:32:30.159982+00:00,EURUSD,QM+CISD+SBR,short,1.15,1.155,1.155,0.005,-1.0,10000.0,-10000.0,1000000.0,990000.0,1.0
2026-09-07T11:54:03.164548+00:00,SPX500,Connors RSI,long,7422.246,7354.240857,7406.478286,68.005143,-0.232,5000.0,-1159.3,1000000.0,998840.7,1.0
2026-09-07T11:54:03.223684+00:00,UK100,Connors RSI,long,7422.246,7099.883714,6897.764,322.362286,-1.627,4994.2,-8125.55,998840.7,990715.15,1.0
2026-09-07T16:23:14.534074+00:00,NAS100_USD,Monday Effect,long,20100.0,20100.0,20300.0,0.0,0.0,9907.15,0.0,990715.15,990715.15,1.0
2026-09-07T16:23:14.537945+00:00,SPX500,Monday Effect,long,20100.0,20100.0,20300.0,0.0,0.0,9907.15,0.0,990715.15,990715.15,1.0
2026-09-07T16:23:14.541134+00:00,US30,Monday Effect,long,20100.0,20100.0,20300.0,0.0,0.0,9907.15,0.0,990715.15,990715.15,1.0
2026-09-07T16:23:14.543802+00:00,US2000,Monday Effect,long,20100.0,20100.0,20300.0,0.0,0.0,9907.15,0.0,990715.15,990715.15,1.0
2026-09-07T16:23:52.052657+00:00,NAS100_USD,Monday Effect,long,20100.0,19899.0,20300.0,201.0,0.995,9907.15,9857.86,990715.15,1000573.01,1.0
2026-09-07T16:23:52.054555+00:00,SPX500,Monday Effect,long,20100.0,19899.0,20300.0,201.0,0.995,10005.73,9955.95,1000573.01,1010528.96,1.0
2026-09-07T16:23:52.056414+00:00,US30,Monday Effect,long,20100.0,19899.0,20300.0,201.0,0.995,10105.29,10055.01,1010528.96,1020583.98,1.0
2026-09-07T16:23:52.058264+00:00,US2000,Monday Effect,long,20100.0,19899.0,20300.0,201.0,0.995,10205.84,10155.06,1020583.98,1030739.04,1.0
2026-09-07T16:26:14.570885+00:00,NAS100_USD,Monday Effect,long,20100.0,19899.0,19800.0,201.0,-1.493,10307.39,-15384.16,1030739.04,1015354.88,1.0
2026-09-07T16:26:14.572809+00:00,SPX500,Monday Effect,long,20100.0,19899.0,19800.0,201.0,-1.493,10153.55,-15154.55,1015354.88,1000200.33,1.0
2026-09-07T16:26:14.574641+00:00,US30,Monday Effect,long,20100.0,19899.0,19800.0,201.0,-1.493,10002.0,-14928.36,1000200.33,985271.96,1.0
2026-09-07T16:26:14.576397+00:00,US2000,Monday Effect,long,20100.0,19899.0,19800.0,201.0,-1.493,9852.72,-14705.55,985271.96,970566.41,1.0
2026-09-08T10:33:19.153799+00:00,XAUUSD,Overnight Extension,long,4578.375455,4519.698595,4519.698595,58.67686,-1.0,9705.66,-9705.66,970566.41,960860.75,1.0
2026-09-11T00:12:46.287393+00:00,US2000,Connors RSI,long,2972.33374,2942.481634,2912.629527,29.852106,-2.0,4804.3,-9608.61,960860.75,951252.14,1.0
2026-09-12T00:20:35.258450+00:00,NAS100,Pivot S/R,long,29559.732422,28955.894531,29368.439453,603.837891,-0.317,4756.26,-1506.76,951252.14,949745.38,1.0
