date,balance
2016-01-04,332106.0
2016-01-05,328907.0
2016-01-06,337737.0
2016-01-07,298303.0
2016-01-08,300850.0
2016-01-11,309821.0
2016-01-12,307971.0
2016-01-13,302240.0
2016-01-14,265074.0
2016-01-15,278444.0
2016-01-19,299622.0
2016-01-20,318749.0
2016-01-21,339133.0
2016-01-22,339516.0
2016-01-25,349474.0
2016-01-26,348843.0
2016-01-27,337973.0
2016-01-28,355129.0
2016-01-29,370182.0
2016-02-01,339636.0
2016-02-02,338063.0
2016-02-03,312633.0
2016-02-04,325503.0
2016-02-05,322146.0
2016-02-08,329165.0
2016-02-09,323853.0
2016-02-10,276161.0
2016-02-11,279129.0
2016-02-12,271688.0
2016-02-16,259086.0
2016-02-17,242350.0
2016-02-18,242543.0
2016-02-19,240815.0
2016-02-22,245250.0
2016-02-23,238552.0
2016-02-24,216862.0
2016-02-25,224233.0
2016-02-26,233990.0
2016-02-29,272359.0
2016-03-01,232499.0
2016-03-02,229388.0
2016-03-03,210163.0
2016-03-04,211554.0
2016-03-07,222709.0
2016-03-08,216274.0
2016-03-09,196297.0
2016-03-10,214246.0
2016-03-11,213624.0
2016-03-14,236562.0
2016-03-15,278674.0
2016-03-16,279081.0
2016-03-17,298526.0
2016-03-18,298959.0
2016-03-21,304545.0
2016-03-22,301036.0
2016-03-23,277707.0
2016-03-24,281904.0
2016-03-25,277224.0
2016-03-28,295479.0
2016-03-29,291654.0
2016-03-30,291912.0
2016-03-31,313835.0
2016-04-01,251046.0
2016-04-04,261374.0
2016-04-05,258380.0
2016-04-06,263537.0
2016-04-07,237899.0
2016-04-08,236218.0
2016-04-11,244515.0
2016-04-12,248447.0
2016-04-13,237928.0
2016-04-14,223174.0
2016-04-15,233889.0
2016-04-18,290415.0
2016-04-19,328698.0
2016-04-20,337540.0
2016-04-21,318662.0
2016-04-22,331277.0
2016-04-25,355282.0
2016-04-26,382887.0
2016-04-27,372499.0
2016-04-28,350158.0
2016-04-29,339091.0
2016-05-02,343705.0
2016-05-03,319569.0
2016-05-04,323794.0
2016-05-05,316764.0
2016-05-06,315496.0
2016-05-09,322035.0
2016-05-10,316456.0
2016-05-11,305842.0
2016-05-12,301875.0
2016-05-13,302731.0
2016-05-16,291295.0
2016-05-17,288721.0
2016-05-18,277289.0
2016-05-19,273500.0
2016-05-20,268120.0
2016-05-23,276399.0
2016-05-24,268985.0
2016-05-25,257092.0
2016-05-26,251273.0
2016-05-27,266563.0
2016-05-31,298416.0
2016-06-01,259693.0
2016-06-02,256930.0
2016-06-03,232934.0
2016-06-06,238930.0
2016-06-07,234678.0
2016-06-08,225116.0
2016-06-09,209485.0
2016-06-10,212512.0
2016-06-13,226608.0
2016-06-14,239648.0
2016-06-15,305523.0
2016-06-16,306956.0
2016-06-17,307883.0
2016-06-20,320542.0
2016-06-21,335303.0
2016-06-22,331412.0
2016-06-23,322951.0
2016-06-24,335147.0
2016-06-27,344437.0
2016-06-28,340193.0
2016-06-29,346632.0
2016-06-30,363662.0
2016-07-01,290469.0
2016-07-05,299495.0
2016-07-06,298044.0
2016-07-07,315375.0
2016-07-08,316154.0
2016-07-11,322485.0
2016-07-12,318422.0
2016-07-13,307707.0
2016-07-14,320931.0
2016-07-15,326148.0
2016-07-18,341731.0
2016-07-19,335807.0
2016-07-20,327138.0
2016-07-21,324432.0
2016-07-22,324986.0
2016-07-25,334404.0
2016-07-26,328464.0
2016-07-27,316238.0
2016-07-28,318836.0
2016-07-29,333748.0
2016-08-01,263385.0
2016-08-02,262544.0
2016-08-03,245682.0
2016-08-04,257583.0
2016-08-05,259784.0
2016-08-08,267131.0
2016-08-09,262663.0
2016-08-10,252095.0
2016-08-11,270718.0
2016-08-12,270368.0
2016-08-15,249955.0
2016-08-16,252470.0
2016-08-17,241426.0
2016-08-18,255336.0
2016-08-19,253455.0
2016-08-22,262858.0
2016-08-23,257194.0
2016-08-24,244881.0
2016-08-25,261937.0
2016-08-26,272063.0
2016-08-29,278609.0
2016-08-30,273682.0
2016-08-31,288946.0
2016-09-01,252298.0
2016-09-02,231405.0
2016-09-06,237009.0
2016-09-07,238152.0
2016-09-08,240149.0
2016-09-09,238512.0
2016-09-12,246437.0
2016-09-13,246759.0
2016-09-14,252691.0
2016-09-15,321073.0
2016-09-16,331797.0
2016-09-19,343479.0
2016-09-20,364589.0
2016-09-21,358603.0
2016-09-22,351302.0
2016-09-23,353351.0
2016-09-26,358850.0
2016-09-27,352076.0
2016-09-28,339619.0
2016-09-29,356770.0
2016-09-30,353312.0
2016-10-03,339769.0
2016-10-04,335636.0
2016-10-05,342208.0
2016-10-06,360503.0
2016-10-07,357296.0
2016-10-11,360736.0
2016-10-12,342875.0
2016-10-13,372381.0
2016-10-14,374299.0
2016-10-17,420809.0
2016-10-18,418133.0
2016-10-19,409693.0
2016-10-20,433309.0
2016-10-21,427572.0
2016-10-24,435091.0
2016-10-25,431814.0
2016-10-26,420256.0
2016-10-27,439889.0
2016-10-28,440383.0
2016-10-31,421567.0
2016-11-01,369156.0
2016-11-02,371894.0
2016-11-03,376485.0
2016-11-04,377153.0
2016-11-07,382595.0
2016-11-08,377527.0
2016-11-09,365454.0
2016-11-10,407607.0
2016-11-14,418005.0
2016-11-15,380036.0
2016-11-16,375908.0
2016-11-17,402553.0
2016-11-18,401995.0
